file_name;text
01.jpg;Tanjiro smiling, determined, holding his sword, portrait
02.jpg;Tanjiro neutral look, portrait
03.jpg;Tanjiro in the middle of a fire attack with his sword, blood on hands and face, agitated
04.jpg;Tanjiro right after a strong and fast sword slash, looking at camera, camera above
05.jpg;young Tanjiro, calm, concerned, face a little dirty, scarf, carrying wood
06.jpg;young Tanjiro, calm, happy, smiling, scarf, carrying wood, in winter forest
07.jpg;Tanjiro, happy, smiling, waving goodbye, cloud robe, in forest
08.jpg;Tanjiro, close up, after a fight, dirty, eyes closed, exhausted
09.jpg;Tanjiro, happy, eyes wide open, white robe, smiling, in front of bamboo wall
10.jpg;Tanjiro, no background, serious looking, sword in hand, kneeling, ready to attack
11.jpg;Tanjiro, lunging forward to strike with his sword, cutting a thin white thread
12.jpg;Tanjiro, careful, hiding behind sword, sword in hand, close up
13.jpg;Tanjiro, looking straight at camera, tip of sword in picture, pointing at camera
14.jpg;Tanjiro, about to attack, hand open, other hand holding sword in the same direction as the other arm, sword shining blue, highlight on tip
15.jpg;Tanjiro, sad, exhausted, looking at tree in front of him
16.jpg;young Tanjiro, happy, smiling, mouth open, wood basket empty, scarf, looking straight at camera
17.jpg;Tanjiro about to finish a devastating fire strike with his sword, both hands holding sword, trail, dark background
18.jpg;Tanjiro, in purple forest, hand raised, cloud robe, happy
19.jpg;Tanjiro, happy, running towards camera, no background
20.jpg;Tanjiro, long hair, serious, looking at camera, dark forest, snow, dirty
